Firewall,
Firewall,- ACL - Application-based vs. network-based - Stateful vs. stateless - Implicit deny
ACL,
Application-based vs. network-based,
Stateful vs. stateless,
VPN concentrator,
VPN concentrator,- Remote access vs. site-to-site - IPSec - Split tunnel vs. full tunnel - TLS - Always-on VPN
Remote access vs. site-to-site,
IPSec, - Tunnel mode  - Transport mode  - AH  - ESP
Split tunnel vs. full tunnel,
TLS,
NIPS/NIDS,
NIPS/NIDS,- Signature-based - Heuristic/behavioral - Anomaly - Inline vs. passive - In-band vs. out-of-band - Rules - Analytics
Signature-based,
Heuristic/behavioral,
Anomaly,
Inline vs. passive,
In-band vs. out-of-band,
Rules,
Analytics, - False positive  - False negative
Router,
Router,- ACLs - Antispoofing
ACLs,
Switch,
Switch,- Port security - Layer 2 vs. Layer 3 - Loop prevention - Flood guard
Port security,
Layer 2 vs. Layer 3,
Loop prevention,
Proxy,
Proxy,- Forward and reverse proxy - Transparent - Application/multipurpose
Forward and reverse proxy,
Transparent,
Load balancer,
Load balancer,- Scheduling - Active-passive - Active-active - Virtual IPs
Scheduling, - Affinity  - Round-robin
Active-passive,
Active-active,
Access point,
Access point,- SSID - MAC filtering - Signal strength - Band selection/width - Antenna types and placement - Fat vs. thin - Controller-based vs. standalone
SSID,
MAC filtering,
Signal strength,
Band selection/width,
Antenna types and placement,
Fat vs. thin,
SIEM,
SIEM,- Aggregation - Correlation - Automated alerting and triggers - Time synchronization - Event deduplication - Logs/WORM
Aggregation,
Correlation,
Automated alerting and triggers,
Time synchronization,
Event deduplication,
DLP,
DLP,- USB blocking - Cloud-based - Email
USB blocking,
Cloud-based,
NAC,
NAC,- Dissolvable vs. permanent - Host health checks - Agent vs. agentless
Dissolvable vs. permanent,
Host health checks,
Mail gateway,
Mail gateway,- Spam filter - DLP - Encryption
Spam filter,
DLP,
Bridge,
SSL/TLS accelerators,
SSL decryptors,
Media gateway,
Hardware security module,
Protocol analyzer,
Network scanners,
Network scanners,- Rogue system detection - Network mapping
Rogue system detection,
Wireless scanners/cracker,
Password cracker,
Vulnerability scanner,
Configuration compliance scanner,
Exploitation frameworks,
Data sanitization tools,
Steganography tools,
Honeypot,
Backup utilities,
Banner grabbing,
Passive vs. active,
Command line tools,
Command line tools,- ping - netstat - tracert - nslookup/dig - arp - ipconfig/ip/ifconfig - tcpdump - nmap - netcat
ping,
netstat,
tracert,
nslookup/dig,
arp,
ipconfig/ip/ifconfig,
tcpdump,
nmap,
Unencrypted credentials/clear text,
Logs and events anomalies,
Permission issues,
Access violations,
Certificate issues,
Data exfiltration,
Misconfigured devices,
Misconfigured devices,- Firewall - Content filter - Access points
Firewall,
Content filter,
Weak security configurations,
Personnel issues,
Personnel issues,- Policy violation - Insider threat - Social engineering - Social media - Personal email
Policy violation,
Insider threat,
Social engineering,
Social media,
Unauthorized software,
Baseline deviation,
License compliance violation (availability/integrity),
Asset management,
Authentication issues,
HIDS/HIPS,
Antivirus,
File integrity check,
Host-based firewall,
Application whitelisting,
Removable media control,
Advanced malware tools,
Patch management tools,
UTM,
DLP,
Data execution prevention,
Web application firewall,
Connection methods,
Connection methods,- Cellular - WiFi - SATCOM - Bluetooth - NFC - ANT - Infrared - USB
Cellular,
WiFi,
SATCOM,
Bluetooth,
NFC,
ANT,
Infrared,
Mobile device management concepts,
Mobile device management concepts,- Application management - Content management - Remote wipe - Geofencing - Geolocation - Screen locks - Push notification services - Passwords and pins - Biometrics - Context-aware authentication - Containerization - Storage segmentation - Full device encryption
Application management,
Content management,
Remote wipe,
Geofencing,
Geolocation,
Screen locks,
Push notification services,
Passwords and pins,
Biometrics,
Context-aware authentication,
Containerization,
Storage segmentation,
Enforcement and monitoring for:,
Enforcement and monitoring for:,- Third-party app stores - Rooting/jailbreaking - Sideloading - Custom firmware - Carrier unlocking - Firmware OTA updates - Camera use - SMS/MMS - External media - USB OTG - Recording microphone - GPS tagging - WiFi direct/ad hoc - Tethering - Payment methods
Third-party app stores,
Rooting/jailbreaking,
Sideloading,
Custom firmware,
Carrier unlocking,
Firmware OTA updates,
Camera use,
SMS/MMS,
External media,
USB OTG,
Recording microphone,
GPS tagging,
WiFi direct/ad hoc,
Tethering,
Deployment models,
Deployment models,- BYOD - COPE - CYOD - Corporate-owned - VDI
BYOD,
COPE,
CYOD,
Corporate-owned,
Protocols,
Protocols,- DNSSEC - SSH - S/MIME - SRTP - LDAPS - FTPS - SFTP - SNMPv3 - SSL/TLS - HTTPS - Secure POP/IMAP
DNSSEC,
SSH,
S/MIME,
SRTP,
LDAPS,
FTPS,
SFTP,
SNMPv3,
SSL/TLS,
HTTPS,
Use cases,
Use cases,- Voice and video - Time synchronization - Email and web - File transfer - Directory services - Remote access - Domain name resolution - Routing and switching - Network address allocation - Subscription services
Voice and video,
Time synchronization,
Email and web,
File transfer,
Directory services,
Remote access,
Domain name resolution,
Routing and switching,
Network address allocation,
Subscription services,
