Standard operating procedure,
Agreement types,
Agreement types,- BPA - SLA - ISA - MOU/MOA
BPA,
SLA,
ISA,
Personnel management,
Personnel management,- Mandatory vacations - Job rotation - Separation of duties - Clean desk - Background checks - Exit interviews - Role-based awareness training - NDA - Onboarding - Continuing education - Acceptable use policy/rules of behavior - Adverse actions
Mandatory vacations,
Job rotation,
Separation of duties,
Clean desk,
Background checks,
Exit interviews,
Role-based awareness training, - Data owner  - System administrator  - System owner  - User  - Privileged user  - Executive user
NDA,
Onboarding,
Continuing education,
Acceptable use policy/rules of behavior,
General security policies,
General security policies,- Social media networks/applications - Personal email
Social media networks/applications,
RTO/RPO,
MTBF,
MTTR,
Mission-essential functions,
Identification of critical systems,
Single point of failure,
Impact,
Impact,- Life - Property - Safety - Finance - Reputation
Life,
Property,
Safety,
Finance,
Privacy impact assessment,
Privacy threshold assessment,
Threat assessment,
Threat assessment,- Environmental - Manmade - Internal vs. external
Environmental,
Manmade,
Risk assessment,
Risk assessment,- SLE - ALE - ARO - Asset value - Risk register - Likelihood of occurrence - Supply chain assessment - Impact - Quantitative - Qualitative - Testing - Risk response techniques
SLE,
ALE,
ARO,
Asset value,
Risk register,
Likelihood of occurrence,
Supply chain assessment,
Impact,
Quantitative,
Qualitative,
Testing, - Penetration testing authorization  - Vulnerability testing authorization
Risk response techniques, - Accept  - Transfer  - Avoid  - Mitigate
Change management,
Incident response plan,
Incident response plan,- Documented incident types/category definitions - Roles and responsibilities - Reporting requirements/escalation - Cyber-incident response teams - Exercise
Documented incident types/category definitions,
Roles and responsibilities,
Reporting requirements/escalation,
Cyber-incident response teams,
Incident response process,
Incident response process,- Preparation - Identification - Containment - Eradication - Recovery - Lessons learned
Preparation,
Identification,
Containment,
Eradication,
Recovery,
Order of volatility,
Chain of custody,
Legal hold,
Data acquisition,
Data acquisition,- Capture system image - Network traffic and logs - Capture video - Record time offset - Take hashes - Screenshots - Witness interviews
Capture system image,
Network traffic and logs,
Capture video,
Record time offset,
Take hashes,
Screenshots,
Preservation,
Recovery,
Strategic intelligence/counterintelligence gathering,
Strategic intelligence/counterintelligence gathering,- Active logging
Track man-hours,
Recovery sites,
Recovery sites,- Hot site - Warm site - Cold site
Hot site,
Warm site,
Order of restoration,
Backup concepts,
Backup concepts,- Differential - Incremental - Snapshots - Full
Differential,
Incremental,
Snapshots,
Geographic considerations,
Geographic considerations,- Off-site backups - Distance - Location selection - Legal implications - Data sovereignty
Off-site backups,
Distance,
Location selection,
Legal implications,
Continuity of operation planning,
Continuity of operation planning,- Exercises/tabletop - After-action reports - Failover - Alternate processing sites - Alternate business practices
Exercises/tabletop,
After-action reports,
Failover,
Alternate processing sites,
Deterrent,
Preventive,
Detective,
Corrective,
Compensating,
Technical,
Administrative,
Physical,
Data destruction and media sanitization,
Data destruction and media sanitization,- Burning - Shredding - Pulping - Pulverizing - Degaussing - Purging - Wiping
Burning,
Shredding,
Pulping,
Pulverizing,
Degaussing,
Purging,
Data sensitivity labeling and handling,
Data sensitivity labeling and handling,- Confidential - Private - Public - Proprietary - PII - PHI
Confidential,
Private,
Public,
Proprietary,
PII,
Data roles,
Data roles,- Owner - Steward/custodian - Privacy officer
Owner,
Steward/custodian,
Data retention,
Legal and compliance,
